id,game,tier,tierLabel,tierColor,faction,lord,dlc,style,difficulty,length,pressure,tags,why,tip,keyMechanic
kislev,WH3,4,VETERAN,#c084fc,Kislev,Katarin the Ice Queen,WH3 Base,magic;defensive,4,Long,Very High,Ice Magic;Cossacks;Vassal System,Unique ice magic focus and a defensive playstyle with the Ataman vassal diplomacy system. Demanding but deeply satisfying.,Prioritise the Ice Court mechanic – it gives you enormously powerful wizards early in the game. Kostaltyn is the hardest LL in the game.,Ice Court and Vassal System – grant land to Atamans in exchange for loyalty and bonuses.
woc,WH3,4,VETERAN,#c084fc,Warriors of Chaos,Archaon the Everchosen,Champions of Chaos,chaos,3,Long,Medium,Chaos Gods;Warband;Confederation,The grand finale. Juggle all four Chaos Gods and play as a global threat. Archaon can confederate all other WoC lords.,Choose one Chaos God as your main patron – do not try to maximise all of them at once.,Chaos Gods Patronage – choose a god as your patron for powerful units and campaign bonuses.
dechala,WH3,5,LATEST DLCs,#e879f9,Slaanesh,Dechala the Denied One,Tides of Torment (Dec. 2025),excess,3,Medium,Medium,Thrall Camps;Conquest;Rituals,The freshest Slaanesh experience. The Thrall Camps mechanic feels unique. Rewards an aggressive non-linear playstyle.,Sack settlements quickly and build Thrall Camps – your economy will explode. Do not go defensive too early.,Thrall Camps – build camps in raided settlements for passive income without administration.
sayl,WH3,5,LATEST DLCs,#e879f9,Norsca,Sayl the Faithless,Tides of Torment (Dec. 2025),ritual;monster,3,Medium,High,Chaos Altars;Mutation;Sea Monsters,The newest Norsca playstyle with a Chaos Altar ritual system and mutation magic. Perfect for Chaos fans who want something fresh.,Build altars as early as possible – the tier upgrades through rituals are powerful. Sayl is an excellent wizard.,Chaos Altar Rituals – sacrifice resources for permanent mutation upgrades to your army.
aislinn,WH3,5,LATEST DLCs,#e879f9,High Elves,Sea Lord Aislinn,Tides of Torment (Dec. 2025),naval,4,Long,Medium,Naval Warfare;Coastal Raids;Dragonships,Pure naval warfare fantasy. No fixed capital – you rule from the sea. Completely different feel from classic High Elf campaigns.,Dragonships are your base – protect them well and use coastal raids for income. Avoid land battles where possible.,Sea Throne – your floating capital on the sea that you must protect.
bretonnia,WH1,1,BEGINNER,#4ade80,Bretonnia,Louen Leoncoeur,WH1 FLC,offensive;quality,2,Medium,Low,Knights;Peasants;Chivalry,Pure cavalry fantasy. Line up your knights and smash through everything. One of the most satisfying charge animations in the game and very forgiving economy.,Always lead with Knights of the Realm and keep peasant bowmen behind. Chivalry points unlock your strongest units – fight honourably.,Chivalry System – performing heroic acts in battle earns Chivalry which unlocks Bretonnian Grail units.
norsca,WH1,1,BEGINNER,#4ade80,Norsca,Wulfrik the Wanderer,Norsca DLC,raider,2,Short,Low,Raiding;Monsters;Chaos Gods,Fast aggressive raiding campaign with powerful monsters. No complex economy – just raid loot and conquer. Great second campaign after Greenskins.,Raid every settlement you can early on – income comes from pillaging not from holding territory. Wulfrik's teleport ability is extremely powerful for surprise attacks.,Monster Hunting – hunt specific monsters across the map to unlock powerful Regiment of Renown units.
beastmen,WH1,2,INTERMEDIATE,#facc15,Beastmen,Khazrak the One-Eye,Beastmen DLC,ambush,3,Medium,High,Ambush;Horde;Forest,A horde faction that lives entirely in forests and ambushes enemies. No settlements to manage – just constant aggressive movement. Unique and atmospheric playstyle.,Never stop moving. A stationary Beastmen army bleeds Devotion. Ambush stance is your greatest weapon – use it every single turn you can.,The Call of the Beastmen – Beastmen generate Devotion through battles which fuels their unique horde growth and army unlocks.
woodelves,WH1,2,INTERMEDIATE,#facc15,Wood Elves,Orion,Wood Elves DLC,guardian,3,Long,Medium,Forest Magic;Spite;Amber,Living entirely within Athel Loren the Wood Elves have a completely different resource system based on Amber. Elite troops but a very different strategic approach.,Amber is everything – prioritise Amber income above all else. Do not try to hold territory outside Athel Loren early on. Let the forest defend you.,Amber Economy – Amber is the primary resource used to recruit the most powerful Wood Elf units and unlock technologies.
tombkings,WH2,2,INTERMEDIATE,#facc15,Tomb Kings,Settra the Imperishable,Tomb Kings DLC,undead,2,Long,Low,No Upkeep;Constructs;Books of Nagash,Undead armies with zero upkeep cost and powerful constructs. The economy works completely differently – Canopic Jars replace gold for the most powerful units.,Prioritise the Mortuary Cult early. Sacrificing Canopic Jars for Tomb Scorpions and Sphinxes wins campaigns. Settra himself is an unstoppable combat lord.,Mortuary Cult – spend Canopic Jars to craft powerful magic items and summon legendary constructs outside of the normal recruitment system.
vampirecoast,WH2,2,INTERMEDIATE,#facc15,Vampire Coast,Luthor Harkon,Vampire Coast DLC,naval;undead,3,Long,Medium,Undead;Naval;Infamy,Undead pirates with a unique Infamy system and powerful naval presence. Combines the no-upkeep economy of Vampire Counts with aggressive coastal raiding.,Coastal raids generate massive Infamy which unlocks the most powerful units. Prioritise ships and coastal settlements over inland expansion.,Infamy System – raiding and winning battles builds Infamy which is used to recruit legendary Pirate Captains and unlock powerful campaign bonuses.
khorne,WH3,3,ADVANCED,#f97316,Khorne,Skarbrand,WH3 Base,blood,3,Medium,High,Blood Tithe;Daemons;Pure Aggression,Pure aggression turned into a resource. Every kill in battle generates Blood Tithe which summons increasingly powerful Daemonic units mid-fight. Never stop attacking.,Never end a turn without fighting. Blood Tithe decays if you do not battle constantly. Stack Skarbrand's rage abilities and he becomes literally unkillable in melee.,Blood Tithe – killing enemies in battle generates Blood Tithe points which can be spent to summon powerful Khornate Daemon units directly onto the battlefield.
nurgle,WH3,3,ADVANCED,#f97316,Nurgle,Ku'gath Plaguefather,WH3 Base,corruption,3,Long,Medium,Plague;Corruption;Garden of Nurgle,Slow methodical corruption-based campaign. Spread diseases across the map and let attrition do the work before your armies even arrive. Deeply satisfying in a disgusting way.,Spread corruption into enemy territory before moving your armies. Let plague weaken their stacks first. Nurgle armies are slow but nearly impossible to kill.,Garden of Nurgle – cultivate unique plagues in Nurgle's Garden and unleash them across the campaign map to weaken and corrupt enemy factions.
tzeentch,WH3,3,ADVANCED,#f97316,Tzeentch,Kairos Fateweaver,WH3 Base,magic;manipulation,4,Long,Medium,Magic Dominance;Destiny Dice;Changehosts,The most magic-focused faction in the game. Kairos manipulates fate itself with Destiny Dice that can be spent to alter campaign and battle outcomes. High skill ceiling.,Master the Destiny Dice system before anything else – knowing when to spend them is the difference between winning and losing. Kairos in battle is a walking magical apocalypse.,Destiny Dice – a pool of dice rolled at the start of each campaign turn that can be spent to alter battle results change diplomacy outcomes and trigger unique events.
ogrekingdoms,WH3,3,ADVANCED,#f97316,Ogre Kingdoms,Greasus Goldtooth,Ogre Kingdoms DLC,trade;horde,3,Medium,Medium,Contracts;Mercenaries;Gut Magic,Ogres work as mercenaries for other factions via the Contracts system earning massive gold bonuses. Small elite armies that punch far above their weight class.,Take every Contract you can early – the gold income is enormous and it forces you into aggressive play which suits Ogres perfectly. Mournfang Cavalry wins battles.,Contracts System – accept contracts from other factions to attack their enemies earning huge gold rewards and unlocking Ogre-specific bonuses.
slaanesh,WH3,4,VETERAN,#c084fc,Slaanesh,N'Kari,WH3 Base,seduction,4,Medium,High,Velocity;Temptation;Ld Manipulation,The fastest faction in the game with a unique Temptation mechanic that turns enemy lords into followers. Rewarding but requires deep understanding of the mechanics.,Focus on capturing enemy lords through Temptation rather than killing them. A tempted enemy lord joining you is worth more than a dead one. Speed is your greatest weapon.,Temptation – defeating enemy lords in battle gives the option to tempt them to Slaanesh's cause turning them into powerful followers with unique abilities.
daemonprince,WH3,4,VETERAN,#c084fc,Daemon Prince,Daemon Prince (Custom),WH3 Base,custom;chaos,4,Long,High,Customisation;All Chaos Gods;Mutation,The ultimate Chaos experience. Build your Daemon Prince from scratch choosing mutations from all four Chaos Gods. Every campaign is different depending on your choices.,Plan your mutation path before starting. Mixing too many gods weakens you – commit to one or two for maximum power. The late-game Daemon Prince is one of the strongest lords in the game.,Daemonic Mutations – collect Souls by completing campaign objectives to purchase physical mutations that permanently enhance your Daemon Prince's stats and abilities.
